attack_surface_count,patch_age_days,is_external_facing,tech_stack_complexity,vulnerability_score
78,298,1,3,66.31
92,229,1,1,48.53
54,63,0,4,54.51
85,2,0,2,29.89
46,356,0,4,56.91
17,365,0,5,62.16
68,121,0,3,35.86
51,264,1,4,73.71
29,108,0,1,41.5
56,91,0,1,22.23
87,173,0,2,28.4
79,161,1,5,58.9
64,226,0,4,50.88
62,355,0,3,60.95
57,182,0,5,58.88
80,90,1,3,56.26
41,110,1,4,63.77
7,318,0,2,46.2
69,261,1,2,52.31
78,27,1,1,40.16
27,75,0,2,38.89
97,243,1,4,44.34
30,257,1,3,62.76
11,69,1,4,72.46
96,74,1,4,48.86
